Ano;Tipo;preco;Bairro;Endereco;A-total;A-const;Asfalto;Condominio;Sala-estar;Sala-jantar;Suite;Quarto;A/e-q;sacada;Garagem;Portao-e;WC-social;Lavabo;closet;coz-plane;Despensa;Deposito;Copa;churrasqueira;jardim;Lazer;Varanda;lavanderia;piscina;Serviço;Aquecedor-solar;Seguranca;Edicula;sauna
2021;0;790;2;Itaguaí;360;220;1;0;1;1;3;1;3;0;5;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0
2021;0;349;2;José Nolasco Sena Filho;198;100;1;0;1;1;0;3;0;0;2;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0
2021;1;4200;2;Das Garças;"1363,91";900;1;0;2;1;4;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1
2021;1;1450;2;Hermelita de Oliveira Gomes;686;353;1;0;2;1;1;4;4;0;4;1;1;1;1;1;1;0;0;1;0;1;1;1;1;2;1;1;0;1
2021;1;1300;2;Hermelita de Oliveira Gomes;686;353;1;0;2;1;1;4;4;0;4;1;1;0;1;1;1;0;1;1;0;0;1;1;1;2;0;1;1;1
2021;2;1520;2;7 de Setembro;257;166;1;1;1;1;0;4;3;1;2;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0
2021;0;185;3;Arlindo Sampaio;"155,35";"61,45";1;1;1;1;0;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
2021;0;250;3;Lucas Evangelista;250;"61,4";1;0;1;0;0;3;0;0;2;1;2;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0
2021;0;190;3;Baraúnas;250;60;1;0;1;1;0;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2021;0;380;3;Ecy rodrigues Ferreira;375;"227,09";1;0;2;1;0;5;1;0;5;0;1;0;0;1;1;1;1;1;1;0;1;1;0;2;0;0;0;0
2021;0;230;3;Eng Semi Ferzelli;200;133;1;0;1;1;0;3;0;0;2;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
2021;0;299;3;Erasmo Nunes da Cunha;131;115;1;0;1;0;0;3;3;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0
2021;1;790;3;Areti D. Vavas;420;200;1;0;2;3;0;5;4;1;2;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0
2021;1;350;3;Ecy rodrigues Ferreira;208;237;1;0;2;1;0;3;1;0;4;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
2021;1;500;3;Hugo P Valê;250;240;1;0;3;2;3;0;0;1;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0
2021;1;550;3;Jorge K Dualibi;"138,38";"139,72";1;0;1;1;1;2;0;1;2;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
2021;2;170;3;Capital;"74,81";"69,44";1;1;1;1;0;3;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0
2021;2;420;3;Afro Puga;;69;1;1;1;0;1;2;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0
2021;2;355;3;Afro Puga;;67;1;0;1;1;1;2;3;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2021;2;125;3;Alzira A. Amaral;;57;1;1;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0
2021;2;190;3;Antonio Rahe;;39;1;0;1;1;0;2;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0
2021;2;250;3;Das Americas;;73;1;1;1;1;0;2;1;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0
2021;0;350;4;Julia Maksoud;140;100;1;0;1;0;0;3;0;0;2;1;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;1;0;0
2021;0;495;4;Norte;420;144;1;0;2;0;0;3;0;0;2;1;3;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0
2021;0;490;4;13 de junho;256;121;1;0;1;1;1;1;2;0;4;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0
2021;0;460;4;13 de junho;509;195;1;0;1;1;0;3;0;0;2;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0
2021;1;260;4;Castelo Branco;130;101;1;1;1;0;1;2;1;0;2;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0
2021;1;270;4;Canaã;270;200;60;1;1;0;1;2;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
2021;0;240;4;Franjinha;;;1;1;1;1;1;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2021;1;290;4;;;"68,75";1;1;1;1;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
2021;1;720;4;Julia Maksoud;250;195;1;0;1;0;3;0;3;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0
2021;2;350;4;Monte Castelo;"94,87";"76,6";1;1;1;1;1;2;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0
2021;2;800;4;Jaraguão;"230,52";"123,8";1;1;1;1;0;0;0;0;3;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0
2021;2;420;4;Ernesto Geisel;;70;1;1;1;1;1;1;2;0;2;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0
2021;2;115;4;Julia Maksoud;;"57,5";1;0;1;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
2021;2;159;4;Julia Maksoud;"54,22";"49,63";1;1;1;0;0;2;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0
2021;2;125;4;Julia Maksoud;;49;1;1;1;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2021;0;495;5;Norte;;;1;0;2;1;0;3;3;0;4;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0
2021;0;230;5;Adriano Metelo;119;60;1;0;1;1;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;0;150;5;Albatroz;0;0;0;0;1;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2021;0;630;5;Anita Garibalde;360;179;1;0;2;2;1;2;3;0;2;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
2021;0;720;5;Brasil;380;139;1;0;1;1;1;2;1;0;8;1;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0
2021;0;180;5;Benevento;102;"51,31";1;0;1;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2021;0;230;5;Cariris;;;1;0;1;0;1;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0
